class_weight	max_depth	min_samples_leaf	accuracy	balanced_accuracy	f1_macro	f1_E
balanced	6	15	0.5746971736204576	0.5972595470806731	0.5610520333228639	0.48366013071895425
balanced	3	5	0.5746971736204576	0.5673730336693996	0.5484915616682821	0.4397163120567376
balanced	3	10	0.5746971736204576	0.5673730336693996	0.5484915616682821	0.4397163120567376
balanced	5	15	0.5572005383580081	0.5809511990551343	0.5445140709519577	0.46849757673667203
balanced	6	5	0.566621803499327	0.564060868523305	0.5429771074026529	0.43902439024390244
balanced	6	10	0.5598923283983849	0.5666969069341504	0.5406686895612965	0.4467005076142132
balanced	5	5	0.5572005383580081	0.5647626709573612	0.538386438271057	0.4451939291736931
balanced	4	15	0.5450874831763123	0.5523227948854008	0.5265553125706961	0.43288590604026844
balanced	4	5	0.5370121130551817	0.555236986699988	0.5230780713539334	0.44155844155844154
balanced	4	10	0.5370121130551817	0.555236986699988	0.5230780713539334	0.44155844155844154
	6	15	0.6850605652759085	0.5346022834254806	0.5137652138893861	0.2251655629139073
balanced	5	10	0.5370121130551817	0.5328221016415331	0.5136028012483824	0.4068965517241379
balanced	3	15	0.5087483176312247	0.5436444086886565	0.5010991841202388	0.4393241167434716
	6	5	0.676985195154778	0.5200826757501583	0.4911655937542802	0.1836734693877551
	3	15	0.6810228802153432	0.519248215538933	0.48554274946316667	0.16842105263157894
	3	10	0.6890982503364738	0.5213151092928913	0.4817046103113704	0.15384615384615385
	5	10	0.6796769851951547	0.5157905547662656	0.47917697509483753	0.15602836879432624
	5	15	0.6823687752355316	0.5164795193509183	0.4778574491400257	0.1510791366906475
	4	15	0.6850605652759085	0.5171684839355711	0.4764580472645805	0.145985401459854
	6	10	0.6783310901749664	0.5110876226014618	0.46975003956487593	0.1371841155234657
	4	10	0.6837146702557201	0.5124655517707674	0.46664813530743215	0.12639405204460966
	5	5	0.6756393001345895	0.5079081152325362	0.4653128014022389	0.1299638989169675
	3	5	0.6917900403768507	0.5145324455247258	0.46130953323223145	0.10894941634241245
	4	5	0.6877523553162853	0.5103858201674055	0.4559250561826124	0.10077519379844961
