id_protocolo	n_acoes_avaliadas	acertos	erros	taxa_erro	max_erros_consecutivos	itens
PR0018	3	2	1	0.3333333333333333	1	acao_presente=outra | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=nao | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=sim | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0019	3	2	1	0.3333333333333333	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=nao | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0020	12	7	5	0.4166666666666667	2	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0021	7	2	5	0.7142857142857143	3	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0022	6	6	0	0.0	0	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0023	8	5	3	0.375	2	acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=media | tem_erro=sim
PR0024	5	5	0	0.0	0	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | ajuda=sim | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0025	9	3	6	0.6666666666666666	6	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Categoria não determinada | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0026	9	6	3	0.3333333333333333	2	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=media | tem_erro=sim
PR0027	8	6	2	0.25	2	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=media | tem_erro=sim
PR0028	8	6	2	0.25	2	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=media | tem_erro=sim
PR0029	6	4	2	0.3333333333333333	1	acao_presente=categoria | acao_presente=leitura | acao_presente=posicionamento | acao_presente=resultado | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0030	6	5	1	0.16666666666666666	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=resultado | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=sim | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0031	8	4	4	0.5	4	acao_presente=categoria | acao_presente=leitura | acao_presente=posicionamento | acao_presente=resultado | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0032	4	4	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=resultado | ajuda=sim | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=nao | taxa_erro=baixa | tem_erro=nao
PR0033	10	6	4	0.4	2	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=resultado | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0034	6	3	3	0.5	2	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Categoria não determinada | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0035	2	2	0	0.0	0	acao_presente=categoria | acao_presente=simbolo_categoria | ajuda=nao | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=nao | taxa_erro=baixa | tem_erro=nao
PR0036	11	10	1	0.09090909090909091	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=resultado | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0037	6	0	6	1.0	6	acao_presente=categoria | acao_presente=posicionamento | ajuda=nao | categoria=Categoria não determinada | correcao_apos_erro=nao | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0038	5	5	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=nao | categoria=Divisão por cotas | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0039	5	5	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=nao | categoria=Multiplicação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0040	6	4	2	0.3333333333333333	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=nao | categoria=Divisão por cotas | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0041	5	5	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=nao | categoria=Divisão por partes | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0042	4	4	0	0.0	0	acao_presente=posicionamento | ajuda=nao | categoria=Categoria não determinada | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=nao | taxa_erro=baixa | tem_erro=nao
PR0043	1	1	0	0.0	0	acao_presente=categoria | ajuda=nao | categoria=Divisão por cotas | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=nao | taxa_erro=baixa | tem_erro=nao
PR0044	5	3	2	0.4	2	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Multiplicação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0045	3	3	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Divisão por partes | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0046	3	3	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Multiplicação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0047	5	3	2	0.4	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Divisão por partes | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0048	4	3	1	0.25	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Divisão por cotas | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0049	4	3	1	0.25	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Divisão por cotas | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0050	3	3	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Divisão por partes | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0051	12	5	7	0.5833333333333334	3	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=resultado | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=sim | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0052	10	7	3	0.3	3	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=media | tem_erro=sim
PR0053	3	3	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=sim | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0054	6	6	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=resultado | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=nao | categoria=Comparação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0055	9	8	1	0.1111111111111111	1	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0056	5	5	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=nao | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0057	9	7	2	0.2222222222222222	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0058	7	5	2	0.2857142857142857	1	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0059	6	6	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0060	6	6	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=nao | categoria=Comparação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0061	3	2	1	0.3333333333333333	1	acao_presente=categoria | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0062	7	4	3	0.42857142857142855	3	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0063	8	6	2	0.25	1	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0064	16	9	7	0.4375	3	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=sim | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0065	5	5	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=nao | categoria=Composição | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0066	8	4	4	0.5	4	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=sim | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0067	10	4	6	0.6	3	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=sim | erro_sinal=nao | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0068	4	3	1	0.25	1	acao_presente=categoria | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=nao | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0069	10	4	6	0.6	4	acao_presente=categoria | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0070	6	5	1	0.16666666666666666	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0071	6	5	1	0.16666666666666666	1	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Composição | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0072	4	4	0	0.0	0	acao_presente=categoria | acao_presente=posicionamento | ajuda=sim | categoria=Transformação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=nao | taxa_erro=baixa | tem_erro=nao
PR0073	11	9	2	0.18181818181818182	1	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=resultado | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
PR0074	2	2	0	0.0	0	acao_presente=categoria | acao_presente=outra | ajuda=sim | categoria=Comparação | correcao_apos_erro=nao | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=0 | feedback=sim | taxa_erro=baixa | tem_erro=nao
PR0075	7	5	2	0.2857142857142857	1	acao_presente=categoria | acao_presente=outra | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=media | tem_erro=sim
PR0076	13	5	8	0.6153846153846154	4	acao_presente=categoria | acao_presente=posicionamento | acao_presente=sinal | ajuda=sim | categoria=Transformação | correcao_apos_erro=sim | erro_categoria=sim | erro_posicionamento=sim | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=sim | erros_consecutivos=2mais | feedback=sim | taxa_erro=alta | tem_erro=sim
PR0077	7	6	1	0.14285714285714285	1	acao_presente=categoria | acao_presente=leitura | acao_presente=outra | acao_presente=posicionamento | acao_presente=simbolo_categoria | acao_presente=sinal | ajuda=sim | categoria=Comparação | correcao_apos_erro=sim | erro_categoria=nao | erro_posicionamento=nao | erro_resultado=nao | erro_simbolo_categoria=nao | erro_sinal=nao | erros_consecutivos=1 | feedback=sim | taxa_erro=baixa | tem_erro=sim
