ordem_global	id_protocolo	sujeito	problema_quadro	categoria	tarefa	avaliacao_ce	task_family	artifact_family	fase_protocolo	historico_erros	consecutivos_bin	ultima_avaliacao	feedback_previo	ajuda_previa	repete_familia	posicao_rotulada	erros_anteriores	acertos_anteriores	erros_consecutivos_antes	pred_j48_cv	pred_part_cv
145	PR0007	S(17-07-10)	07	Transformação	Definir o sinal do número relativo	E	sinal	controle_sinal	intermediaria1	3a5	tresmais	E	0	0	0	6	4	1	4	E	E
146	PR0007	S(17-07-10)	07	Transformação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria1	3a5	tresmais	E	0	0	0	7	5	1	5	E	C
153	PR0007	S(17-07-10)	07	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria2	6mais	tresmais	E	0	0	1	8	6	1	6	E	E
159	PR0008	S(17-07-10)	08	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
165	PR0008	S(17-07-10)	08	Comparação	Associar incorretamente uma medida da comparação ao modelo	E	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	2	0	1	0	E	E
168	PR0008	S(17-07-10)	08	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	inicio	1a2	um	E	1	1	1	3	1	1	1	C	E
171	PR0008	S(17-07-10)	08	Comparação	Associar um elemento ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	4	1	2	0	C	C
173	PR0008	S(17-07-10)	08	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	1a2	zero	C	0	0	0	5	1	3	0	E	C
175	PR0008	S(17-07-10)	08	Comparação	Associar incorretamente uma medida da comparação ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	6	1	4	0	E	C
178	PR0008	S(17-07-10)	08	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	um	E	1	1	1	7	2	4	1	C	E
183	PR0009	S(19-07-10)	01	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
186	PR0009	S(19-07-10)	01	Comparação	Identificar o elemento representativo	E	simbolo_categoria	outro	inicio	zero	zero	C	0	0	0	2	0	1	0	C	C
192	PR0009	S(19-07-10)	01	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	um	E	0	0	0	3	1	1	1	E	C
194	PR0009	S(19-07-10)	01	Comparação	Identificar o elemento representativo	C	simbolo_categoria	outro	intermediaria1	1a2	zero	C	0	0	0	4	1	2	0	C	C
197	PR0009	S(19-07-10)	01	Comparação	Associar incorretamente uma medida da comparação ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	5	1	3	0	E	C
202	PR0009	S(19-07-10)	01	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	um	E	0	0	1	6	2	3	1	C	C
205	PR0009	S(19-07-10)	01	Comparação	Associar incorretamente uma medida da comparação ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	7	2	4	0	C	C
209	PR0009	S(19-07-10)	01	Comparação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	um	E	0	0	1	8	3	4	1	E	C
214	PR0009	S(19-07-10)	01	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria2	3a5	zero	C	0	0	0	9	3	5	0	E	C
216	PR0009	S(19-07-10)	01	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	zero	C	1	0	0	10	3	6	0	C	C
219	PR0009	S(19-07-10)	01	Comparação	Associar incorretamente uma medida da comparação ao modelo	E	posicionamento	diagrama	intermediaria2	3a5	zero	C	1	0	1	11	3	7	0	C	C
225	PR0009	S(19-07-10)	01	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	um	E	0	0	1	12	4	7	1	E	C
230	PR0010	S(19-07-10)	02	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
232	PR0010	S(19-07-10)	02	Transformação	Executar ação do sujeito	C	outra	interface	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
235	PR0010	S(19-07-10)	02	Transformação	Associar o estado inicial ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	C	C
237	PR0010	S(19-07-10)	02	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	0	0	1	4	0	3	0	E	C
240	PR0010	S(19-07-10)	02	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	zero	zero	C	0	0	0	5	0	4	0	E	C
242	PR0010	S(19-07-10)	02	Transformação	Associar o estado final ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	0	6	0	5	0	C	C
247	PR0011	S(19-07-10)	03	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
249	PR0011	S(19-07-10)	03	Comparação	Identificar o elemento representativo	C	simbolo_categoria	outro	inicio	zero	zero	C	0	0	0	2	0	1	0	C	C
252	PR0011	S(19-07-10)	03	Comparação	Associar o número relativo ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	E	E
258	PR0011	S(19-07-10)	03	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	zero	zero	C	0	0	0	4	0	3	0	C	C
260	PR0011	S(19-07-10)	03	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	0	0	0	5	0	4	0	E	E
262	PR0011	S(19-07-10)	03	Comparação	Associar uma medida da comparação ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	1	6	0	5	0	C	C
267	PR0012	S(19-07-10)	04	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
269	PR0012	S(19-07-10)	04	Composição	Executar ação do sujeito	C	outra	interface	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
273	PR0012	S(19-07-10)	04	Composição	Associar o todo ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	E	C
276	PR0012	S(19-07-10)	04	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	0	0	1	4	0	3	0	C	C
281	PR0012	S(19-07-10)	04	Composição	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	1	5	0	4	0	C	C
284	PR0012	S(19-07-10)	04	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	um	E	1	1	1	6	1	4	1	C	E
292	PR0013	S(19-07-10)	05	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	E
297	PR0013	S(19-07-10)	05	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	C
302	PR0013	S(19-07-10)	05	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	dois	E	0	0	1	3	2	0	2	E	E
304	PR0013	S(19-07-10)	05	Transformação	Executar ação do sujeito	C	outra	interface	intermediaria1	1a2	zero	C	0	0	0	4	2	1	0	C	C
309	PR0013	S(19-07-10)	05	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	5	2	2	0	E	E
312	PR0013	S(19-07-10)	05	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	6	2	3	0	C	C
321	PR0013	S(19-07-10)	05	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	7	2	4	0	C	C
323	PR0013	S(19-07-10)	05	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria2	1a2	zero	C	0	1	1	8	2	5	0	C	C
327	PR0013	S(19-07-10)	05	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria2	1a2	zero	C	0	0	0	9	2	6	0	C	C
329	PR0013	S(19-07-10)	05	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria2	1a2	zero	C	1	0	0	10	2	7	0	C	C
335	PR0014	S(19-07-10)	06	Composição	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
340	PR0014	S(19-07-10)	06	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	E
342	PR0014	S(19-07-10)	06	Composição	Executar ação do sujeito	E	outra	interface	inicio	1a2	zero	C	0	0	0	3	1	1	0	C	C
347	PR0014	S(19-07-10)	06	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	intermediaria1	1a2	um	E	0	0	0	4	2	1	1	E	E
349	PR0014	S(19-07-10)	06	Composição	Executar ação do sujeito	C	outra	interface	intermediaria1	1a2	zero	C	0	0	0	5	2	2	0	C	C
354	PR0014	S(19-07-10)	06	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	6	2	3	0	E	E
358	PR0014	S(19-07-10)	06	Composição	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	1	7	2	4	0	C	C
362	PR0014	S(19-07-10)	06	Composição	Associar o todo ao modelo	C	posicionamento	diagrama	intermediaria2	1a2	zero	C	0	0	1	8	2	5	0	C	C
