antecedente	consequente	suporte	confianca	lift	tamanho
erro_sinal=sim	acao_presente=sinal & erro_posicionamento=sim & erros_consecutivos=2mais	0.0934579439252336	0.7692307692307692	4.331983805668016	4
erro_resultado=sim	acao_presente=resultado & erro_simbolo_categoria=nao & tem_erro=sim	0.0934579439252336	1.0	4.28	4
erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim & erro_simbolo_categoria=nao	0.0934579439252336	1.0	4.28	4
erro_sinal=nao & taxa_erro=alta	erro_categoria=sim & erros_consecutivos=2mais	0.1121495327102803	0.7058823529411765	4.196078431372549	4
erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim & feedback=sim	0.0934579439252336	1.0	4.115384615384615	4
erro_resultado=sim	acao_presente=resultado & ajuda=sim & feedback=sim	0.0934579439252336	1.0	4.115384615384615	4
erro_resultado=sim	acao_presente=resultado & feedback=sim & tem_erro=sim	0.0934579439252336	1.0	4.115384615384615	4
categoria=Comparação & erros_consecutivos=2mais	acao_presente=simbolo_categoria & erro_posicionamento=sim	0.0841121495327102	0.75	4.0125	4
erro_sinal=sim & erros_consecutivos=2mais	erro_posicionamento=sim & taxa_erro=alta	0.0841121495327102	0.75	4.0125	4
acao_presente=outra & taxa_erro=alta	acao_presente=sinal & erros_consecutivos=2mais	0.0841121495327102	0.8181818181818181	3.9793388429752063	4
erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	3
erro_resultado=sim	acao_presente=resultado & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	3
erro_resultado=sim & feedback=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim & tem_erro=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
correcao_apos_erro=sim & erro_resultado=sim	acao_presente=resultado & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim	acao_presente=resultado & ajuda=sim & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
ajuda=sim & erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim & erro_simbolo_categoria=nao	acao_presente=resultado & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim & feedback=sim	acao_presente=resultado & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim	acao_presente=resultado & ajuda=sim & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
ajuda=sim & erro_resultado=sim	acao_presente=resultado & tem_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_resultado=sim & erro_simbolo_categoria=nao	acao_presente=resultado & correcao_apos_erro=sim	0.0934579439252336	1.0	3.9629629629629632	4
erro_categoria=nao & erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0841121495327102	1.0	3.9629629629629632	4
erro_categoria=nao & erro_resultado=sim	acao_presente=resultado & tem_erro=sim	0.0841121495327102	1.0	3.9629629629629632	4
acao_presente=categoria & erro_resultado=sim	acao_presente=resultado & correcao_apos_erro=sim	0.0841121495327102	1.0	3.9629629629629632	4
acao_presente=categoria & erro_resultado=sim	acao_presente=resultado & tem_erro=sim	0.0841121495327102	1.0	3.9629629629629632	4
erro_posicionamento=nao & erros_consecutivos=2mais	ajuda=sim & erro_categoria=sim	0.0841121495327102	0.9	3.852	4
erro_resultado=sim	acao_presente=categoria & acao_presente=resultado & correcao_apos_erro=sim	0.0841121495327102	0.9	3.852	4
erro_resultado=sim	acao_presente=categoria & acao_presente=resultado & tem_erro=sim	0.0841121495327102	0.9	3.852	4
erro_categoria=nao & taxa_erro=alta	erro_posicionamento=sim & erros_consecutivos=2mais	0.102803738317757	0.9166666666666666	3.772435897435898	4
erro_simbolo_categoria=nao & erro_sinal=sim	erro_posicionamento=sim & erros_consecutivos=2mais	0.0934579439252336	0.9090909090909092	3.741258741258741	4
erro_categoria=nao & erro_sinal=sim	erro_posicionamento=sim & erros_consecutivos=2mais	0.0841121495327102	0.9	3.703846153846154	4
erro_resultado=sim	acao_presente=resultado & ajuda=sim & erro_categoria=nao	0.0841121495327102	0.9	3.703846153846154	4
erro_categoria=nao & taxa_erro=alta	acao_presente=sinal & erros_consecutivos=2mais	0.0841121495327102	0.75	3.647727272727273	4
erro_sinal=sim & erros_consecutivos=2mais	ajuda=sim & taxa_erro=alta	0.102803738317757	0.9166666666666666	3.632716049382717	4
erro_sinal=sim & erros_consecutivos=2mais	correcao_apos_erro=sim & taxa_erro=alta	0.102803738317757	0.9166666666666666	3.632716049382717	4
erro_sinal=sim	acao_presente=posicionamento & correcao_apos_erro=sim & taxa_erro=alta	0.102803738317757	0.8461538461538461	3.621538461538461	4
erro_sinal=sim	acao_presente=posicionamento & erros_consecutivos=2mais & taxa_erro=alta	0.102803738317757	0.8461538461538461	3.621538461538461	4
erro_sinal=sim	acao_presente=posicionamento & ajuda=sim & taxa_erro=alta	0.102803738317757	0.8461538461538461	3.621538461538461	4
erro_simbolo_categoria=nao & erro_sinal=sim	acao_presente=sinal & erro_posicionamento=sim	0.0934579439252336	0.9090909090909092	3.602693602693603	4
erro_sinal=sim	erro_posicionamento=sim & erro_simbolo_categoria=nao & erros_consecutivos=2mais	0.0934579439252336	0.7692307692307692	3.5785953177257523	4
erro_sinal=sim	acao_presente=sinal & erro_posicionamento=sim & erro_simbolo_categoria=nao	0.0934579439252336	0.7692307692307692	3.5785953177257523	4
erro_posicionamento=sim & erro_sinal=sim	ajuda=sim & taxa_erro=alta	0.0841121495327102	0.9	3.5666666666666678	4
erro_resultado=nao & erro_sinal=sim	correcao_apos_erro=sim & taxa_erro=alta	0.0841121495327102	0.9	3.5666666666666678	4
erro_categoria=nao & erro_sinal=sim	acao_presente=sinal & erro_posicionamento=sim	0.0841121495327102	0.9	3.5666666666666678	4
