antecedente	consequente	suporte	confianca	lift	tamanho
categoria=Composição & consecutivos=zero	avaliacao=C & feedback_previo=0	0.12113055181695828	0.7258064516129032	1.2901296496372898	4
acao=categoria & historico_erros=zero	avaliacao=C & feedback_previo=0	0.1009421265141319	0.7211538461538463	1.2818595877806407	4
categoria=Composição & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.07537012113055182	0.7567567567567567	1.2807978821646246	4
artefato=outro & consecutivos=zero & fase=inicio	avaliacao=C	0.07671601615074024	0.8906249999999999	1.2799504352030946	4
ajuda_previa=0 & fase=intermediaria1 & historico_erros=zero	avaliacao=C	0.06460296096904442	0.888888888888889	1.2774554051149796	4
artefato=outro & historico_erros=zero	avaliacao=C	0.07537012113055182	0.8888888888888888	1.2774554051149796	3
artefato=outro & consecutivos=zero & historico_erros=zero	avaliacao=C	0.07537012113055182	0.8888888888888888	1.2774554051149796	4
artefato=outro & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.07537012113055182	0.8888888888888888	1.2774554051149796	4
ajuda_previa=0 & artefato=outro & historico_erros=zero	avaliacao=C	0.07537012113055182	0.8888888888888888	1.2774554051149796	4
categoria=Composição & historico_erros=1a2	avaliacao=C & feedback_previo=0	0.05787348586810229	0.7166666666666667	1.273883572567783	4
artefato=outro & fase=inicio & historico_erros=zero	avaliacao=C	0.07267833109017496	0.8852459016393442	1.2722199321431968	4
categoria=Composição & historico_erros=1a2	ajuda_previa=0 & avaliacao=C	0.06056527590847914	0.7500000000000001	1.269362186788155	4
categoria=Comparação & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.10497981157469717	0.75	1.2693621867881548	4
acao=posicionamento & categoria=Composição	ajuda_previa=0 & avaliacao=C	0.06864064602960969	0.75	1.2693621867881548	4
categoria=Comparação & historico_erros=zero	avaliacao=C & feedback_previo=0	0.09959623149394348	0.7115384615384617	1.2647681266102322	4
categoria=Composição & consecutivos=zero	ajuda_previa=0 & avaliacao=C	0.12382234185733512	0.7419354838709677	1.2557131310162393	4
artefato=outro & consecutivos=zero	avaliacao=C	0.0901749663526245	0.8701298701298701	1.2504961189680726	3
ajuda_previa=0 & artefato=outro & consecutivos=zero	avaliacao=C	0.0901749663526245	0.8701298701298701	1.2504961189680726	4
artefato=outro & consecutivos=zero & feedback_previo=0	avaliacao=C	0.0901749663526245	0.8701298701298701	1.2504961189680726	4
fase=intermediaria1 & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.06460296096904442	0.7384615384615385	1.2498335377606449	4
artefato=outro & fase=inicio & feedback_previo=0	avaliacao=C	0.07806191117092867	0.8656716417910448	1.2440890325933198	4
ajuda_previa=0 & artefato=diagrama & categoria=Composição	avaliacao=C	0.07806191117092867	0.8656716417910448	1.2440890325933198	4
categoria=Composição & feedback_previo=0	ajuda_previa=0 & avaliacao=C	0.13324360699865412	0.7279411764705883	1.2320280048237975	4
fase=intermediaria1 & feedback_previo=0 & historico_erros=zero	avaliacao=C	0.05518169582772544	0.8541666666666667	1.2275548033526757	4
acao=posicionamento & categoria=Composição	avaliacao=C	0.07806191117092867	0.8529411764705883	1.225793605643418	3
ajuda_previa=0 & artefato=outro & fase=inicio	avaliacao=C	0.07806191117092867	0.8529411764705883	1.225793605643418	4
categoria=Composição & historico_erros=1a2	avaliacao=C	0.06864064602960969	0.8500000000000001	1.2215667311411993	3
acao=posicionamento & ajuda_previa=0 & categoria=Composição	avaliacao=C	0.06864064602960969	0.8500000000000001	1.2215667311411993	4
acao=categoria & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.1009421265141319	0.7211538461538463	1.2205405642193798	4
ajuda_previa=0 & categoria=Composição & historico_erros=1a2	avaliacao=C	0.06056527590847914	0.8490566037735849	1.2202109412065254	4
consecutivos=zero & feedback_previo=1	ajuda_previa=0 & avaliacao=C	0.06594885598923284	0.7205882352941176	1.2195832775023447	4
artefato=diagrama & consecutivos=zero & feedback_previo=1	avaliacao=C	0.06729475100942127	0.8474576271186441	1.2179129921647052	4
acao=posicionamento & artefato=diagrama & categoria=Composição	avaliacao=C	0.06729475100942127	0.8474576271186441	1.2179129921647052	4
acao=posicionamento & consecutivos=zero & feedback_previo=1	avaliacao=C	0.06729475100942127	0.8474576271186441	1.2179129921647052	4
fase=intermediaria1 & historico_erros=zero	avaliacao=C	0.0740242261103634	0.8461538461538463	1.2160392798690673	3
consecutivos=zero & fase=intermediaria1 & historico_erros=zero	avaliacao=C	0.0740242261103634	0.8461538461538463	1.2160392798690673	4
acao=posicionamento & categoria=Composição & feedback_previo=0	avaliacao=C	0.059219380888290714	0.8461538461538463	1.2160392798690673	4
ajuda_previa=0 & consecutivos=zero & feedback_previo=1	avaliacao=C	0.06594885598923284	0.8448275862068965	1.2141332621890215	4
artefato=diagrama & fase=intermediaria1 & historico_erros=zero	avaliacao=C	0.05114401076716016	0.8444444444444443	1.2135826348592305	4
artefato=diagrama & categoria=Composição & feedback_previo=0	avaliacao=C	0.07267833109017496	0.84375	1.2125846228239845	4
categoria=Composição & feedback_previo=0 & historico_erros=1a2	avaliacao=C	0.05787348586810229	0.8431372549019608	1.2117040239693557	4
artefato=outro & fase=inicio	avaliacao=C	0.07806191117092867	0.8405797101449276	1.208028480923948	3
categoria=Comparação & consecutivos=zero	ajuda_previa=0 & avaliacao=C	0.1695827725437416	0.7118644067796611	1.2048183467819777	4
consecutivos=zero & feedback_previo=1	avaliacao=C	0.07671601615074024	0.8382352941176471	1.2046592331323245	3
artefato=diagrama & categoria=Composição & consecutivos=zero	avaliacao=C	0.07537012113055182	0.835820895522388	1.201189410779757	4
acao=posicionamento & ajuda_previa=0 & feedback_previo=1	avaliacao=C	0.06729475100942127	0.8333333333333335	1.1976144422952935	4
artefato=diagrama & categoria=Composição	ajuda_previa=0 & avaliacao=C	0.07806191117092867	0.7073170731707317	1.1971220623367964	4
historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.28936742934051146	0.7072368421052633	1.1969862726291813	3
consecutivos=zero & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.28936742934051146	0.7072368421052633	1.1969862726291813	4
feedback_previo=0 & historico_erros=zero	ajuda_previa=0 & avaliacao=C	0.26379542395693134	0.7050359712230215	1.193261336261287	4
artefato=diagrama & categoria=Composição	avaliacao=C	0.09152086137281291	0.8292682926829268	1.1917724206255602	3
